Scientific name,Count
Turdus merula,6168678
Cyanistes caeruleus,5650522
Erithacus rubecula,5627156
Columba palumbus,5300203
Parus major,4913334
Fringilla coelebs,4608487
Prunella modularis,4521867
Pica pica,4167694
Troglodytes troglodytes,4111491
Corvus corone,4002092
Sturnus vulgaris,3986074
Carduelis carduelis,3785343
Passer domesticus,3711739
Chloris chloris,3412849
Coloeus monedula,3085392
Streptopelia decaocto,3073977
Anas platyrhynchos,2822024
Turdus philomelos,2586454
Maniola jurtina,2584349
Periparus ater,2458759
Chroicocephalus ridibundus,2457285
Aegithalos caudatus,2333072
Pieris rapae,1982320
Dendrocopos major,1965047
Larus argentatus,1898094
Pararge aegeria,1877320
Gallinula chloropus,1829021
Phylloscopus collybita,1768423
Pieris brassicae,1749628
Cygnus olor,1695755
Buteo buteo,1645790
Sylvia atricapilla,1615140
Hirundo rustica,1607217
Ardea cinerea,1607071
Pieris napi,1597141
Phasianus colchicus,1533994
Phalacrocorax carbo,1526502
Aglais io,1495374
Fulica atra,1460781
Corvus frugilegus,1436978
Vanellus vanellus,1367694
Pyronia tithonus,1363481
Aglais urticae,1345839
Accipiter nisus,1333665
Garrulus glandarius,1324800
Branta canadensis,1283880
Larus fuscus,1281564
Columba livia,1262753
Aythya fuligula,1252024
Regulus regulus,1246878
Pyrrhula pyrrhula,1228631
Alauda arvensis,1227229
Vanessa atalanta,1222290
Haematopus ostralegus,1200446
Falco tinnunculus,1196776
Anthus pratensis,1133926
Anas crecca,1119908
Polyommatus icarus,1116994
Sitta europaea,1114866
Emberiza schoeniclus,1095818
Linaria cannabina,1073764
Aphantopus hyperantus,1062451
Numenius arquata,1053542
Turdus viscivorus,998562
Anser anser,978321
Phylloscopus trochilus,968122
Motacilla alba yarrellii,961914
Columba oenas,929613
Motacilla alba,925867
Gonepteryx rhamni,904818
Larus canus,895365
Tringa totanus,885440
Apus apus,882567
Noctua pronuba,879757
Picus viridis,868875
Podiceps cristatus,867405
Spinus spinus,856012
Turdus iliacus,851888
Delichon urbicum,828513
Larus marinus,826546
Curruca communis,825017
Tachybaptus ruficollis,820231
Coenonympha pamphilus,801774
Mareca penelope,795474
Tadorna tadorna,793912
Emberiza citrinella,783648
Polygonia c-album,775116
Egretta garzetta,752433
Mareca strepera,725915
Anthocharis cardamines,718017
Turdus pilaris,640484
Spatula clypeata,631380
Gallinago gallinago,608422
Ochlodes sylvanus,586404
Vanessa cardui,578637
Agrotis exclamationis,557454
Certhia familiaris,542138
